match_id,division,match_date,section,team,player,goals,goal_minutes,source_url,note
2025_D1_m52,1部,2025-10-11,第13節,横須賀シーガルズMEG,阿部妃栞,1,68分,https://u15.kantolsl.com/2025/div1/m52,
2025_D1_m52,1部,2025-10-11,第13節,横須賀シーガルズMEG,柴田結月,1,71分,https://u15.kantolsl.com/2025/div1/m52,
2025_D1_m53,1部,2025-11-16,第14節,三菱重工浦和レッズレディースジュニアユース,徳生花音,1,49分,https://u15.kantolsl.com/2025/div1/m53,
2025_D1_m54,1部,2025-11-15,第14節,INAC白岡SCレディース,野村詩,1,65分,https://u15.kantolsl.com/2025/div1/m54,team_heading_not_in_match:INAC白岡SCレディース
2025_D1_m55,1部,2025-11-15,第14節,小美玉フットボールアカデミー,小橋由菜,2,34分|74分,https://u15.kantolsl.com/2025/div1/m55,team_heading_not_in_match:小美玉フットボールアカデミー
2025_D1_m55,1部,2025-11-15,第14節,小美玉フットボールアカデミー,水越苺奈,1,49分,https://u15.kantolsl.com/2025/div1/m55,team_heading_not_in_match:小美玉フットボールアカデミー
2025_D1_m55,1部,2025-11-15,第14節,小美玉フットボールアカデミー,山本渚子,1,52分,https://u15.kantolsl.com/2025/div1/m55,team_heading_not_in_match:小美玉フットボールアカデミー
2025_D1_m55,1部,2025-11-15,第14節,ノジマステラ神奈川相模原アヴェニーレ,信川結菜,1,40分,https://u15.kantolsl.com/2025/div1/m55,
2025_D1_m56,1部,2025-11-15,第14節,横須賀シーガルズMEG,澁谷紗菜美,1,49分,https://u15.kantolsl.com/2025/div1/m56,
2025_D2_m01,2部,2025-04-06,第1節,INAC千葉CRAVO FC,牧野菜々,1,57分,https://u15.kantolsl.com/2025/div2/m01,
2025_D2_m01,2部,2025-04-06,第1節,大宮アルディージャVENTUS U15,近藤芽衣,1,73分,https://u15.kantolsl.com/2025/div2/m01,team_heading_not_in_match:大宮アルディージャVENTUS U15
2025_D2_m02,2部,2025-04-06,第1節,湘南ベルマーレU-15ガールズ,竹澤瑚夏,1,43分,https://u15.kantolsl.com/2025/div2/m02,
2025_D2_m02,2部,2025-04-06,第1節,湘南ベルマーレU-15ガールズ,新田千穂,1,47分,https://u15.kantolsl.com/2025/div2/m02,
2025_D2_m02,2部,2025-04-06,第1節,湘南ベルマーレU-15ガールズ,菊地菜々美,1,63分,https://u15.kantolsl.com/2025/div2/m02,
2025_D2_m02,2部,2025-04-06,第1節,湘南ベルマーレU-15ガールズ,中邨日向,1,81分,https://u15.kantolsl.com/2025/div2/m02,
2025_D2_m03,2部,2025-04-06,第1節,栃木SCレディース,林加笑,3,1分|41分|45分,https://u15.kantolsl.com/2025/div2/m03,
2025_D2_m03,2部,2025-04-06,第1節,栃木SCレディース,丹野柚,3,30分|36分|65分,https://u15.kantolsl.com/2025/div2/m03,
2025_D2_m03,2部,2025-04-06,第1節,栃木SCレディース,渡邉凜,2,8分|13分,https://u15.kantolsl.com/2025/div2/m03,
2025_D2_m03,2部,2025-04-06,第1節,栃木SCレディース,檜山未知琉,1,32分,https://u15.kantolsl.com/2025/div2/m03,
2025_D2_m03,2部,2025-04-06,第1節,栃木SCレディース,奈良凪紗,1,48分,https://u15.kantolsl.com/2025/div2/m03,
2025_D2_m03,2部,2025-04-06,第1節,栃木SCレディース,鈴木心絆,1,71分,https://u15.kantolsl.com/2025/div2/m03,
2025_D2_m04,2部,2025-04-06,第1節,ザスパ群馬レディースU-15,土屋琉花,1,5分,https://u15.kantolsl.com/2025/div2/m04,
2025_D2_m04,2部,2025-04-06,第1節,スフィーダ世田谷FCユース,茂木陽菜,2,14分|32分,https://u15.kantolsl.com/2025/div2/m04,
2025_D2_m04,2部,2025-04-06,第1節,スフィーダ世田谷FCユース,松田千紗,1,7分,https://u15.kantolsl.com/2025/div2/m04,
2025_D2_m04,2部,2025-04-06,第1節,スフィーダ世田谷FCユース,村田紗菜,1,40分,https://u15.kantolsl.com/2025/div2/m04,
2025_D2_m04,2部,2025-04-06,第1節,スフィーダ世田谷FCユース,滝澤優奈,1,46分,https://u15.kantolsl.com/2025/div2/m04,
2025_D2_m04,2部,2025-04-06,第1節,スフィーダ世田谷FCユース,オウンゴール,1,65分,https://u15.kantolsl.com/2025/div2/m04,
2025_D2_m05,2部,2025-04-13,第2節,湘南ベルマーレU-15ガールズ,竹澤瑚夏,1,78分,https://u15.kantolsl.com/2025/div2/m05,team_heading_not_in_match:湘南ベルマーレU-15ガールズ
2025_D2_m06,2部,2025-04-12,第2節,大宮アルディージャVENTUS U15,近藤芽衣,1,40分,https://u15.kantolsl.com/2025/div2/m06,team_heading_not_in_match:大宮アルディージャVENTUS U15
2025_D2_m06,2部,2025-04-12,第2節,十文字中学校,吉浦希,1,15分,https://u15.kantolsl.com/2025/div2/m06,
2025_D2_m06,2部,2025-04-12,第2節,十文字中学校,オウンゴール,1,40+1分,https://u15.kantolsl.com/2025/div2/m06,
2025_D2_m06,2部,2025-04-12,第2節,十文字中学校,箱崎莉乃,1,79分,https://u15.kantolsl.com/2025/div2/m06,
2025_D2_m07,2部,2025-04-13,第2節,栃木SCレディース,奈良凪紗,1,20分,https://u15.kantolsl.com/2025/div2/m07,
2025_D2_m07,2部,2025-04-13,第2節,栃木SCレディース,吉成礼,1,37分,https://u15.kantolsl.com/2025/div2/m07,
2025_D2_m07,2部,2025-04-13,第2節,栃木SCレディース,大久保藍奈,1,47分,https://u15.kantolsl.com/2025/div2/m07,
2025_D2_m07,2部,2025-04-13,第2節,栃木SCレディース,森田梨愛,1,70分,https://u15.kantolsl.com/2025/div2/m07,
2025_D2_m08,2部,2025-04-12,第2節,スフィーダ世田谷FCユース,松田千紗,6,2分|8分|9分|23分|59分|60分,https://u15.kantolsl.com/2025/div2/m08,
2025_D2_m08,2部,2025-04-12,第2節,スフィーダ世田谷FCユース,茂木陽菜,5,16分|33分|38分|48分|56分,https://u15.kantolsl.com/2025/div2/m08,
2025_D2_m08,2部,2025-04-12,第2節,スフィーダ世田谷FCユース,真田小町,3,29分|51分|75分,https://u15.kantolsl.com/2025/div2/m08,
2025_D2_m08,2部,2025-04-12,第2節,スフィーダ世田谷FCユース,滝澤優奈,1,20分,https://u15.kantolsl.com/2025/div2/m08,
2025_D2_m08,2部,2025-04-12,第2節,スフィーダ世田谷FCユース,田島帆夏,1,25分,https://u15.kantolsl.com/2025/div2/m08,
2025_D2_m08,2部,2025-04-12,第2節,スフィーダ世田谷FCユース,田村明希,1,58分,https://u15.kantolsl.com/2025/div2/m08,
2025_D2_m08,2部,2025-04-12,第2節,スフィーダ世田谷FCユース,村田紗菜,1,67分,https://u15.kantolsl.com/2025/div2/m08,
2025_D2_m08,2部,2025-04-12,第2節,スフィーダ世田谷FCユース,小澤璃子,1,72分,https://u15.kantolsl.com/2025/div2/m08,
2025_D2_m09,2部,2025-04-20,第3節,INAC千葉CRAVO FC,山田笑子,8,1分|3分|13分|23分|41分|58分|64分|78分,https://u15.kantolsl.com/2025/div2/m09,
2025_D2_m09,2部,2025-04-20,第3節,INAC千葉CRAVO FC,浅野心都,2,4分|25分,https://u15.kantolsl.com/2025/div2/m09,
2025_D2_m09,2部,2025-04-20,第3節,INAC千葉CRAVO FC,阿久津三希,2,10分|26分,https://u15.kantolsl.com/2025/div2/m09,
